condition,method,visibility_midpoint,visibility_range,n,mean_rms_tre_mm,std_rms_tre_mm
"In-silico, no added noise",RTOR+A3,0.8500000000000002,"[0.8, 0.9)",840,4.032799475462664,2.504824719740211
"In-silico, no added noise",RTOR+A3,0.9500000000000002,"[0.9, 1.0]",760,3.9323738611450323,2.595630212799882
"In-silico, no added noise",RTOR+A3 (cooperative),0.25,"[0.2, 0.3)",730,5.2507898133095,3.1843260452155104
"In-silico, no added noise",RTOR+A3 (cooperative),0.3500000000000001,"[0.3, 0.4)",808,5.099492881631497,3.352355379579626
"In-silico, no added noise",RTOR+A3 (cooperative),0.45000000000000007,"[0.4, 0.5)",790,4.55533894843693,2.879686377017878
"In-silico, no added noise",RTOR+A3 (cooperative),0.55,"[0.5, 0.6)",806,4.400912197071033,2.899292597106487
"In-silico, no added noise",RTOR+A3 (cooperative),0.6500000000000001,"[0.6, 0.7)",777,4.192239259545867,2.782235482360498
"In-silico, no added noise",RTOR+A3 (cooperative),0.7500000000000002,"[0.7, 0.8)",802,4.093204949599252,2.6823565935762677
"In-silico, no added noise",RTOR+A3 (cooperative),0.8500000000000002,"[0.8, 0.9)",840,3.996752882855279,2.5071828942091177
"In-silico, no added noise",RTOR+A3 (cooperative),0.9500000000000002,"[0.9, 1.0]",760,3.884614559419845,2.5820554989992597
"In-silico, 2 mm noise",GeoTransformer,0.25,"[0.2, 0.3)",730,5.833055389335711,6.7307490136557595
"In-silico, 2 mm noise",GeoTransformer,0.3500000000000001,"[0.3, 0.4)",808,5.243789728841569,3.4743127024657596
"In-silico, 2 mm noise",GeoTransformer,0.45000000000000007,"[0.4, 0.5)",790,4.63698983743221,2.93541802649639
"In-silico, 2 mm noise",GeoTransformer,0.55,"[0.5, 0.6)",806,4.432370506874089,2.8484517617829614
"In-silico, 2 mm noise",GeoTransformer,0.6500000000000001,"[0.6, 0.7)",777,4.169837014402049,2.749887960046894
"In-silico, 2 mm noise",GeoTransformer,0.7500000000000002,"[0.7, 0.8)",802,4.0304020078402205,2.634547992899086
"In-silico, 2 mm noise",GeoTransformer,0.8500000000000002,"[0.8, 0.9)",840,3.889857412768262,2.4364193721693903
"In-silico, 2 mm noise",GeoTransformer,0.9500000000000002,"[0.9, 1.0]",760,3.768170181465776,2.4929084702619573
"In-silico, 2 mm noise",RTOR,0.25,"[0.2, 0.3)",730,5.360881423950195,3.3752346562285425
"In-silico, 2 mm noise",RTOR,0.3500000000000001,"[0.3, 0.4)",808,5.257171823541717,4.747813478759296
"In-silico, 2 mm noise",RTOR,0.45000000000000007,"[0.4, 0.5)",790,4.591815835011157,2.8884007032655665
"In-silico, 2 mm noise",RTOR,0.55,"[0.5, 0.6)",806,4.431065349291927,2.8648406769842922
"In-silico, 2 mm noise",RTOR,0.6500000000000001,"[0.6, 0.7)",777,4.23160243962569,2.807793281419512
"In-silico, 2 mm noise",RTOR,0.7500000000000002,"[0.7, 0.8)",802,4.163012110310005,2.691273448048712
"In-silico, 2 mm noise",RTOR,0.8500000000000002,"[0.8, 0.9)",840,4.060779959885847,2.5046256082143747
"In-silico, 2 mm noise",RTOR,0.9500000000000002,"[0.9, 1.0]",760,3.966494262061621,2.5987812777260584
"In-silico, 2 mm noise",A3,0.25,"[0.2, 0.3)",730,5.563111394072232,4.157932107984406
"In-silico, 2 mm noise",A3,0.3500000000000001,"[0.3, 0.4)",808,5.244298488565601,3.5164865871389033
"In-silico, 2 mm noise",A3,0.45000000000000007,"[0.4, 0.5)",790,4.6372085463397115,2.9320873530914393
"In-silico, 2 mm noise",A3,0.55,"[0.5, 0.6)",806,4.421792017319066,2.855123946299425
"In-silico, 2 mm noise",A3,0.6500000000000001,"[0.6, 0.7)",777,4.153571811882225,2.7539325578234632
