n,interaction_mean_mm,interaction_median_mm,interaction_ci_low_mm,interaction_ci_high_mm,synergistic_fraction,condition
6315,0.0186792133917246,-0.004563093185424805,-0.009167885743170056,0.057927865668340774,0.5091053048297703,"In-silico, no added noise"
6315,0.04399920514152811,-0.0013337135314941406,-0.01654372980020297,0.11427107014051045,0.5029295328582739,"In-silico, 2 mm noise"
6315,0.045387074693459324,0.00416111946105957,-0.04940335074848159,0.14285867292637497,0.49453681710213776,"In-silico, 4 mm noise"
800,0.09494487002491951,0.0021238327026367188,-0.1974718868881464,0.4126531810797749,0.49625,In-vitro phantom
