n,mean_delta_mm,median_delta_mm,mean_ci_low_mm,mean_ci_high_mm,win_rate,tie_rate,wilcoxon_statistic,p_value,standardized_mean_delta,condition,comparator,candidate,p_holm
6315,-0.030028274369824998,-0.01163625717163086,-0.06586721041800951,-0.008548658183073115,0.5376088677751386,0.0,9158650.0,2.0285407255188955e-08,-0.02445545841552204,"In-silico, no added noise",RTOR+A3,RTOR+A3 (cooperative),4.057081451037791e-08
6315,-0.04014809753624862,-0.013606786727905273,-0.08801961837677096,-0.006385154484381115,0.5355502771179731,0.0,9087151.5,1.0407195010161363e-09,-0.02387331825758711,"In-silico, 2 mm noise",RTOR+A3,RTOR+A3 (cooperative),4.162878004064545e-09
6315,3.0024143220504313e-05,-0.017035484313964844,-0.053099580434632504,0.06387406118526781,0.5363420427553445,0.0,9104367.0,2.174370392566991e-09,1.2841056594923605e-05,"In-silico, 4 mm noise",RTOR+A3,RTOR+A3 (cooperative),6.523111177700973e-09
800,-0.06207703188061714,0.008125662803649902,-0.25226620233058933,0.061124472763389344,0.48125,0.0,149162.0,0.09136150738441348,-0.02556767469982509,In-vitro phantom,RTOR+A3,RTOR+A3 (cooperative),0.09136150738441348
